Title,Location,Price,Area
                        Apartment Nieuwe Herengracht                            ,            1011 RL Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,500 per month            ",80 m²
                        Apartment Oudezijds Achterburgwal 145 I                            ,            1012 DG Amsterdam (Burgwallen-Oude Zijde)        ,"                €1,975 per month            ",50 m²
                        Studio Sarphatistraat                            ,            1018 AV Amsterdam (Weesperbuurt/Plantage)        ,"                €1,250 per month            ",25 m²
                        Apartment NDSM-pier                            ,            1033 RE Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,740 per month            ",65 m²
                        Apartment NDSM-pier                            ,            1033 RE Amsterdam (Noordelijke IJ-oevers West)        ,"                €2,450 per month            ",110 m²
                        Apartment NDSM-pier                            ,            1033 RE Amsterdam (Noordelijke IJ-oevers West)        ,"                €3,400 per month            ",129 m²
                        House H. Stolleplantsoen                            ,            1022 KK Amsterdam (Elzenhagen)        ,"                €2,650 per month            ",185 m²
                        Apartment Nieuwe Herengracht                            ,            1011 RP Amsterdam (Nieuwmarkt/Lastage)        ,"                €1,600 per month            ",47 m²
                        Apartment Keizersgracht 633 A                            ,            1017 DS Amsterdam (Grachtengordel-Zuid)        ,"                €3,400 per month            ",54 m²
                        Apartment Herenstraat 4 D                            ,            1015 CA Amsterdam (Grachtengordel-West)        ,"                €1,995 per month            ",55 m²
                        Apartment Herengracht 449 B                            ,            1017 BR Amsterdam (Grachtengordel-Zuid)        ,"                €3,850 per month            ",200 m²
                        Apartment Gerard Doustraat                            ,            1073 VZ Amsterdam (Oude Pijp)        ,"                €1,900 per month            ",50 m²
                        Apartment Alexanderkade                            ,            1018 ZC Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €2,500 per month            ",102 m²
                        Apartment Johannes Verhulststraat 157 3                            ,            1075 GW Amsterdam (Willemspark)        ,"                €5,500 per month            ",168 m²
                        Apartment Blasiusstraat                            ,            1091 CR Amsterdam (Weesperzijde)        ,"                €2,400 per month            ",66 m²
                        Apartment Tweede Helmersstraat 41 I                            ,            1054 CC Amsterdam (Helmersbuurt)        ,"                €1,700 per month            ",53 m²
                        Apartment Nova Zemblastraat                            ,            1013 RJ Amsterdam (Spaarndammer- en Zeeheldenbuurt)        ,"                €1,950 per month            ",60 m²
                        Apartment Jennerstraat                            ,            1097 GB Amsterdam (Frankendael)        ,"                €2,300 per month            ",108 m²
                        Apartment Jacob van Lennepkade                            ,            1054 ZT Amsterdam (Overtoomse Sluis)        ,"                €2,075 per month            ",65 m²
                        Apartment Lauriergracht 142 A                            ,            1016 RT Amsterdam (Jordaan)        ,"                €2,450 per month            ",53 m²
                        Apartment Quellijnstraat                            ,            1072 XW Amsterdam (Oude Pijp)        ,"                €1,600 per month            ",39 m²
                        Apartment Reguliersdwarsstraat 100 C                            ,            1017 BN Amsterdam (Grachtengordel-Zuid)        ,"                €3,250 per month            ",104 m²
                        Apartment Reguliersdwarsstraat 98 F                            ,            1017 BN Amsterdam (Grachtengordel-Zuid)        ,"                €2,750 per month            ",85 m²
                        Apartment Reguliersdwarsstraat 98 D                            ,            1017 BN Amsterdam (Grachtengordel-Zuid)        ,"                €2,950 per month            ",91 m²
                        Apartment Reguliersdwarsstraat 100 E                            ,            1017 BN Amsterdam (Grachtengordel-Zuid)        ,"                €2,150 per month            ",65 m²
                        Apartment Reguliersdwarsstraat 100 D                            ,            1017 BN Amsterdam (Grachtengordel-Zuid)        ,"                €3,100 per month            ",97 m²
                        Apartment Reguliersdwarsstraat 100 F                            ,            1017 BN Amsterdam (Grachtengordel-Zuid)        ,"                €2,150 per month            ",66 m²
                        Apartment Reguliersdwarsstraat 98 E                            ,            1017 BN Amsterdam (Grachtengordel-Zuid)        ,"                €2,750 per month            ",85 m²
                        Apartment Reguliersdwarsstraat 98 C                            ,            1017 BN Amsterdam (Grachtengordel-Zuid)        ,"                €2,950 per month            ",92 m²
                        Apartment Reguliersdwarsstraat 98 B                            ,            1017 BN Amsterdam (Grachtengordel-Zuid)        ,"                €2,950 per month            ",92 m²
                        Apartment Reguliersdwarsstraat 98 A                            ,            1017 BN Amsterdam (Grachtengordel-Zuid)        ,"                €2,950 per month            ",92 m²
